ville_nom,ville_departement
ALAIRAC,11
ALAN,31
ALANDO,2B
ALATA,2A
ALBA-LA-ROMAINE,07
ALBAN,81
ALBARET-LE-COMTAL,48
ALBARET-SAINTE-MARIE,48
ALBAS,11
ALBAS,46
ALBE,67
ALBEFEUILLE-LAGARDE,82
ALBENS,73
ALBEPIERRE-BREDONS,15
ALBERT,80
ALBERTACCE,2B
ALBERTVILLE,73
ALBESTROFF,57
ALBI,81
ALBIAC,31
ALBIAC,46
ALBIAS,82
ALBIERES,11
ALBIES,09
ALBIEZ-LE-JEUNE,73
ALBIEZ-MONTROND,73
ALBIGNAC,19
ALBIGNY-SUR-SAONE,69
ALBINE,81
ALBITRECCIA,2A
ALBON,26
ALBON-D'ARDECHE,07
ALBOUSSIERE,07
ALBUSSAC,19
ALBY-SUR-CHERAN,74
ALCAY-ALCABEHETY-SUNHARETTE,64
ALDUDES,64
ALEMBON,62
ALENCON,61
ALENYA,66
ALERIA,2B
ALES,30
ALET-LES-BAINS,11
ALETTE,62
ALEU,09
ALEX,74
ALEXAIN,53
ALEYRAC,26
ALFORTVILLE,94
ALGAJOLA,2B
ALGANS,81
ALGOLSHEIM,68
ALGRANGE,57
ALIEZE,39
ALIGNAN-DU-VENT,34
ALINCOURT,08
ALINCTHUN,62
ALISE-SAINTE-REINE,21
ALISSAS,07
ALIX,69
ALIXAN,26
ALIZAY,27
ALLAIN,54
ALLAINES,80
ALLAINES-MERVILLIERS,28
ALLAINVILLE,28
ALLAINVILLE,78
ALLAIRE,56
ALLAMONT,54
ALLAMPS,54
ALLAN,26
ALLANCHE,15
ALLAND'HUY-ET-SAUSSEUIL,08
ALLARMONT,88
ALLAS-BOCAGE,17
ALLAS-CHAMPAGNE,17
ALLAS-LES-MINES,24
ALLASSAC,19
ALLAUCH,13
ALLEGRE,43
ALLEGRE-LES-FUMADES,30
ALLEINS,13
ALLEMAGNE-EN-PROVENCE,04
ALLEMANCHE-LAUNAY-ET-SOYER,51
ALLEMANS,24
ALLEMANS-DU-DROPT,47
ALLEMANT,02
ALLEMANT,51
ALLEMOND,38
ALLENAY,80
